user_id,item_id,score
103,5759,0.0
584,5432,0.0
1590,2896,1.0
3770,13151,0.0
10,8529,1.0
893,11631,0.0
1208,2992,1.0
3360,15823,0.0
883,14854,1.0
1178,17023,0.0
102,6333,1.0
2504,12147,0.0
291,16719,1.0
51,15890,1.0
61,6276,1.0
766,9646,0.0
558,6117,1.0
95,1965,1.0
2774,12103,1.0
2183,5966,1.0
208,9735,1.0
128,3949,0.0
635,5590,1.0
2472,11919,1.0
53,1397,0.0
831,11733,0.0
81,13450,1.0
1562,3008,0.0
195,1942,0.0
2945,12618,1.0
114,5755,1.0
173,2155,1.0
1547,5130,1.0
2873,12151,1.0
2797,9861,1.0
12,14421,1.0
105,7750,0.0
424,7710,1.0
123,13946,0.0
114,13476,0.0
9,6461,1.0
607,5645,0.0
883,16520,1.0
690,6532,0.0
535,11334,1.0
107,13429,0.0
57,98,1.0
1148,2993,1.0
2090,14345,0.0
436,13196,1.0
1842,8688,0.0
2157,6296,0.0
95,4681,1.0
63,15790,1.0
616,5451,1.0
2831,8644,0.0
672,12806,1.0
951,2450,0.0
659,6878,0.0
3588,15827,0.0
467,15546,0.0
114,7754,1.0
1697,3737,1.0
144,13150,1.0
174,1647,0.0
1393,1968,1.0
142,8742,1.0
103,12320,0.0
489,12337,1.0
455,16503,1.0
171,10060,1.0
3859,13079,1.0
1400,8190,1.0
456,178,1.0
430,13964,1.0
3110,15500,0.0
1029,3664,0.0
926,5463,0.0
8,5495,1.0
1919,5568,1.0
2032,12025,1.0
96,16538,1.0
477,14692,1.0
2820,10013,1.0
1013,14843,1.0
287,3013,1.0
116,12074,1.0
1863,3629,0.0
3558,10663,1.0
490,14865,1.0
1024,11198,0.0
446,15827,1.0
62,13429,0.0
2401,5539,0.0
8,5616,0.0
467,11437,0.0
218,16857,0.0
174,7731,1.0
1024,8264,0.0
1432,14101,1.0
886,15206,1.0
915,16488,0.0
1338,11121,0.0
925,15817,0.0
2028,11949,1.0
3558,10531,0.0
7,9222,1.0
58,11801,1.0
1052,12859,0.0
2029,13627,1.0
501,14802,1.0
749,11755,1.0
2851,12120,0.0
472,13765,1.0
2330,5586,1.0
508,9842,1.0
309,17700,1.0
3130,7492,1.0
154,9102,1.0
2366,5496,0.0
70,3099,0.0
651,10054,1.0
1870,16507,1.0
88,3380,1.0
99,4013,1.0
925,2981,1.0
477,15366,1.0
2724,12323,1.0
4,10048,0.0
124,14794,0.0
8,9245,1.0
83,4381,0.0
11,7503,0.0
290,11778,1.0
579,5495,0.0
625,149,0.0
1336,15523,0.0
97,1995,1.0
2217,11586,0.0
3775,13099,1.0
690,330,1.0
136,1928,1.0
480,15718,0.0
597,5476,0.0
103,7592,0.0
2383,12461,1.0
855,15150,1.0
1007,5763,1.0
1042,10829,1.0
462,7363,0.0
72,2489,1.0
1868,14788,0.0
1409,8090,1.0
479,16500,0.0
292,1031,1.0
112,4809,1.0
48,9672,0.0
450,14263,0.0
55,1292,1.0
461,8798,1.0
1244,15040,0.0
163,9310,1.0
111,2569,1.0
893,17476,1.0
75,840,1.0
1546,5327,1.0
475,2958,1.0
895,15322,0.0
112,2764,0.0
2241,8778,0.0
95,8359,1.0
449,15777,1.0
1890,10421,1.0
427,13767,1.0
2005,4791,0.0
37,7823,1.0
1349,7428,1.0
470,952,1.0
447,13825,1.0
2149,15733,1.0
1545,3733,1.0
1023,8270,1.0
50,2509,1.0
122,1554,0.0
489,11514,1.0
128,13440,0.0
886,8794,1.0
120,29,1.0
8,4170,0.0
140,7667,0.0
462,15018,0.0
78,120,1.0
2953,12686,1.0
2626,15101,1.0
696,5490,0.0
613,6246,1.0
2494,12982,1.0
2698,7855,0.0
2290,6000,0.0
460,14743,1.0
1745,3053,0.0
428,4737,1.0
58,11217,1.0
509,8674,1.0
1131,17374,1.0
679,7767,0.0
474,5041,0.0
151,16895,0.0
745,6520,0.0
114,15851,0.0
1885,8056,0.0
492,5855,1.0
85,7507,1.0
153,37,0.0
2,1413,1.0
1019,5706,1.0
455,13696,1.0
757,12063,1.0
2226,10179,0.0
166,10057,1.0
3166,7828,0.0
455,32,0.0
37,16522,1.0
82,4310,1.0
74,17474,1.0
144,218,1.0
671,12915,1.0
2715,11132,0.0
585,9702,0.0
509,9177,1.0
289,3046,1.0
851,7392,1.0
2614,5671,1.0
290,7534,1.0
130,3025,1.0
55,1470,1.0
3150,12958,1.0
134,474,1.0
93,12133,1.0
12,13057,1.0
577,5540,1.0
139,8094,1.0
103,16469,1.0
2977,11731,1.0
192,1186,1.0
123,10969,0.0
301,1059,1.0
3637,14716,1.0
1695,11272,0.0
2276,6442,1.0
877,15830,1.0
2410,7381,1.0
102,2159,1.0
111,1466,0.0
6,14564,1.0
338,2977,1.0
68,5254,1.0
3871,13000,1.0
110,15814,1.0
46,14216,1.0
1550,15827,1.0
95,10278,1.0
603,235,0.0
450,14918,1.0
2786,11905,1.0
1060,16498,0.0
542,5425,0.0
920,14368,1.0
459,13438,1.0
1385,16006,1.0
522,8646,0.0
650,7678,1.0
56,13473,1.0
499,5329,1.0
502,1327,1.0
1865,3279,0.0
2207,12154,0.0
1579,2885,1.0
499,358,1.0
1598,3015,0.0
802,1238,0.0
2697,11772,1.0
92,4954,0.0
231,17301,0.0
1333,10896,0.0
984,7397,1.0
654,9858,1.0
902,8808,0.0
304,1166,1.0
481,15937,1.0
42,5112,1.0
485,3907,1.0
2415,12776,1.0
2443,5641,0.0
2288,7141,1.0
436,3070,1.0
430,1303,1.0
3855,13111,1.0
793,9505,1.0
133,932,1.0
689,8714,0.0
2774,12162,0.0
669,9861,1.0
76,8883,1.0
98,15806,0.0
499,8356,1.0
116,8243,0.0
727,5531,1.0
124,3891,1.0
440,4761,1.0
125,4565,1.0
1849,14915,1.0
1012,1120,0.0
96,15286,1.0
185,2299,1.0
91,15932,1.0
121,12111,1.0
1057,14610,1.0
1049,1911,1.0
742,5554,0.0
984,14578,0.0
45,5150,1.0
733,5720,0.0
1007,15528,0.0
1550,3602,1.0
61,8391,1.0
899,11222,0.0
119,1424,1.0
2302,5505,1.0
134,16527,0.0
2766,12177,0.0
2163,6258,0.0
222,8862,1.0
2146,16531,1.0
1015,5969,0.0
1234,6151,1.0
2400,12549,0.0
2205,12036,1.0
1905,7792,1.0
2034,15486,0.0
489,413,1.0
468,3969,0.0
477,13725,1.0
150,8741,0.0
50,13121,0.0
799,5572,1.0
1575,3096,0.0
686,8907,1.0
103,14366,0.0
461,14225,0.0
3,7230,0.0
92,42,1.0
103,1585,1.0
301,1039,0.0
2296,6467,1.0
96,15606,1.0
94,3126,1.0
133,11517,1.0
4071,15207,1.0
82,11188,1.0
155,317,1.0
868,7733,1.0
10,9212,1.0
4,7827,1.0
897,8802,0.0
600,6687,0.0
2287,12128,1.0
479,3940,1.0
1427,14180,1.0
2467,12067,0.0
481,13432,0.0
91,17453,0.0
2583,5459,1.0
462,1660,1.0
2,15737,1.0
600,5520,0.0
2191,8275,1.0
118,3682,0.0
1011,9137,0.0
61,13675,1.0
470,16084,1.0
84,165,1.0
449,5244,1.0
105,1014,1.0
424,13707,1.0
609,9702,1.0
636,8744,0.0
635,5751,1.0
291,16795,0.0
481,14760,1.0
1021,1174,1.0
2098,15072,0.0
37,5558,1.0
1173,6142,1.0
106,5137,0.0
78,15484,1.0
1917,10344,1.0
2153,8703,0.0
618,5435,1.0
3583,10695,0.0
664,10085,1.0
932,8589,1.0
1944,14733,0.0
2190,14503,0.0
623,5748,0.0
1592,3010,1.0
1492,16523,0.0
454,1445,1.0
2510,5478,0.0
893,16499,1.0
74,15409,1.0
105,2518,0.0
2980,12796,1.0
2976,8308,1.0
80,1116,0.0
114,11494,0.0
1991,8274,0.0
1057,10019,0.0
2939,12317,1.0
89,11783,1.0
76,3878,0.0
2054,10311,1.0
2935,14432,1.0
600,6143,1.0
1535,5014,1.0
2203,12963,1.0
2267,5533,0.0
435,3086,0.0
117,4128,1.0
103,14970,0.0
543,5470,0.0
699,9731,1.0
447,6018,0.0
1024,9270,1.0
82,7700,1.0
582,5591,1.0
4,7404,1.0
2298,7438,1.0
97,2983,1.0
466,15808,1.0
2075,13074,0.0
2303,7113,1.0
469,5068,1.0
76,15216,1.0
16,12513,0.0
68,3978,1.0
462,7364,1.0
445,3952,0.0
454,12328,1.0
3170,13131,1.0
1946,3896,1.0
644,9133,0.0
678,12160,1.0
496,13728,1.0
450,14794,0.0
491,10336,0.0
751,7742,0.0
134,13983,1.0
62,1914,1.0
106,2523,1.0
695,6246,1.0
883,14941,1.0
81,4042,0.0
495,12314,1.0
1116,12417,1.0
72,15817,1.0
289,11650,1.0
227,8629,0.0
132,13138,0.0
865,12988,1.0
1890,5745,1.0
50,14617,1.0
452,2466,0.0
1010,1538,1.0
61,11820,1.0
296,11724,1.0
1339,8404,0.0
62,16525,0.0
1872,15297,1.0
484,8164,1.0
510,5585,1.0
2206,10308,0.0
2859,11909,1.0
651,8600,1.0
12,12912,1.0
106,16553,1.0
82,17525,1.0
447,6715,1.0
455,9122,0.0
3008,12555,1.0
2077,12131,1.0
74,2240,1.0
457,14940,1.0
126,5160,1.0
2302,10794,0.0
2054,14504,0.0
707,197,0.0
121,1632,1.0
685,146,0.0
474,10914,1.0
95,7593,1.0
200,16558,0.0
9,14500,0.0
909,16538,0.0
101,1303,1.0
700,5504,1.0
76,9465,1.0
768,9200,1.0
463,14735,1.0
501,7620,1.0
100,8814,0.0
680,12018,0.0
3361,14571,1.0
2300,12950,1.0
95,2470,1.0
2282,12956,1.0
2805,10096,0.0
866,8818,0.0
521,7763,0.0
1857,3265,0.0
3548,10539,0.0
467,16471,1.0
491,15877,1.0
556,2211,1.0
185,12171,0.0
39,8800,1.0
641,8812,0.0
2133,10794,0.0
46,7833,1.0
489,12997,1.0
427,15737,1.0
118,569,1.0
70,16506,1.0
147,3018,1.0
434,15720,1.0
2776,12803,1.0
903,10444,1.0
105,9123,0.0
445,15738,1.0
750,12317,0.0
92,8,1.0
2698,12320,0.0
1114,5486,1.0
1137,2993,1.0
159,1459,0.0
226,1119,0.0
97,3926,0.0
529,5490,0.0
50,2771,1.0
446,8983,1.0
514,7766,0.0
2599,5435,0.0
486,3005,1.0
479,5245,1.0
2982,10538,1.0
841,3128,0.0
698,5521,1.0
589,8664,1.0
111,8252,1.0
65,6265,1.0
463,13104,1.0
454,16266,1.0
141,14990,1.0
2296,5675,0.0
117,13474,1.0
1119,3518,1.0
469,1990,1.0
608,255,0.0
477,258,1.0
2993,7398,0.0
448,2120,1.0
2291,6821,1.0
491,12677,1.0
984,10285,1.0
1039,7472,0.0
136,14271,1.0
594,5650,1.0
134,5808,1.0
2978,10499,1.0
534,5471,1.0
1243,14579,1.0
3402,9288,0.0
3559,10528,1.0
2855,7038,1.0
1194,8243,1.0
460,3766,1.0
718,14522,1.0
37,12613,0.0
1697,16141,0.0
875,8831,1.0
95,337,0.0
483,11510,1.0
117,11881,1.0
464,9228,1.0
58,4982,1.0
140,3135,0.0
445,2714,0.0
854,12410,1.0
956,13022,1.0
491,17389,1.0
2453,12977,0.0
788,9215,0.0
731,5578,0.0
2,16479,0.0
120,13511,1.0
367,454,1.0
612,5493,0.0
84,14804,1.0
449,5047,0.0
104,4655,1.0
1176,15524,1.0
169,9104,1.0
887,13008,1.0
469,13755,0.0
1130,6590,1.0
2811,6585,1.0
2007,7374,1.0
69,1028,1.0
1359,14408,1.0
3621,15827,0.0
433,11462,0.0
3008,12484,1.0
69,109,1.0
3051,13046,0.0
10,5072,0.0
58,15823,1.0
576,5610,1.0
2851,12208,0.0
125,5530,0.0
12,8524,1.0
454,14103,0.0
471,7828,1.0
126,14761,1.0
3035,8316,1.0
462,3938,0.0
2214,6311,1.0
4050,15252,0.0
488,764,1.0
1128,4239,0.0
92,2505,0.0
1115,5980,1.0
472,2494,1.0
2399,7384,1.0
4,8287,1.0
113,8037,1.0
135,11867,1.0
110,9318,0.0
134,11441,0.0
13,12619,1.0
531,151,0.0
918,15117,0.0
220,3091,1.0
1889,7686,1.0
838,233,0.0
49,12314,1.0
10,6785,1.0
2922,10851,0.0
593,9746,1.0
83,1913,1.0
273,15476,1.0
1019,17337,1.0
1336,5444,0.0
902,15018,1.0
536,5575,1.0
1547,15174,1.0
488,8343,1.0
792,8075,0.0
1228,17050,1.0
99,1603,1.0
900,15008,0.0
641,14402,1.0
123,3006,1.0
50,5494,0.0
891,11559,1.0
74,3899,0.0
51,14922,0.0
485,3405,1.0
492,3106,1.0
494,14290,1.0
2915,7407,0.0
469,4016,1.0
70,158,1.0
6,16494,1.0
473,8360,1.0
485,10703,1.0
462,1474,0.0
1275,15955,1.0
46,1912,1.0
93,7981,1.0
424,15827,1.0
300,1214,0.0
2598,6490,0.0
1047,5997,1.0
596,187,0.0
547,13555,1.0
594,5483,0.0
2065,9226,0.0
492,2481,0.0
1099,14503,0.0
869,9283,1.0
611,5654,0.0
444,12319,1.0
1045,15113,0.0
149,9090,1.0
771,9300,1.0
1048,2058,0.0
1040,15565,1.0
430,15362,1.0
185,1371,1.0
1129,4126,1.0
1336,14416,0.0
74,6492,1.0
891,6485,1.0
61,4381,1.0
433,10338,0.0
2150,12795,1.0
826,16550,0.0
80,14023,0.0
521,8550,1.0
70,13999,0.0
453,13534,0.0
426,945,0.0
505,13871,1.0
486,16396,0.0
441,14873,1.0
37,10059,1.0
452,7392,1.0
730,5495,0.0
471,2058,1.0
473,14623,1.0
2316,5592,0.0
200,2023,1.0
2772,7202,1.0
535,11332,0.0
447,15480,1.0
196,1924,1.0
489,140,1.0
1036,6136,1.0
51,3769,1.0
890,7529,1.0
71,3948,1.0
132,2498,0.0
658,7082,0.0
2937,15320,1.0
308,17703,0.0
2152,7410,1.0
2392,6115,1.0
101,11453,1.0
109,16420,1.0
1060,16488,0.0
60,39,0.0
1600,3058,1.0
5,7671,1.0
514,5576,1.0
2597,5463,1.0
2598,6496,1.0
9,7400,1.0
1114,10220,1.0
1104,13059,0.0
70,11376,1.0
433,14872,1.0
300,1312,1.0
2692,13128,0.0
1052,8569,1.0
2688,7788,1.0
501,10254,1.0
2219,13081,0.0
2155,14733,1.0
471,1498,1.0
462,2528,0.0
596,361,0.0
92,13715,0.0
918,15236,1.0
727,8106,0.0
1481,13097,1.0
1130,6465,1.0
1353,8345,0.0
891,14761,0.0
643,8553,1.0
895,15735,1.0
1023,7419,1.0
884,14856,1.0
62,4648,1.0
837,7491,1.0
67,13508,0.0
2127,9153,0.0
493,128,1.0
446,1996,0.0
92,7542,1.0
132,2354,1.0
522,8275,1.0
2770,12164,1.0
106,11442,1.0
70,16273,1.0
476,2029,0.0
81,15772,1.0
167,8427,0.0
2805,14891,0.0
667,9862,1.0
2774,7275,0.0
162,276,1.0
76,11428,1.0
484,71,0.0
101,13091,0.0
2774,11984,0.0
1897,12479,1.0
267,9870,1.0
123,9035,1.0
2294,7468,1.0
114,7753,1.0
584,8807,1.0
1025,14834,1.0
457,6240,1.0
131,216,1.0
70,4327,0.0
3822,12957,1.0
159,7757,1.0
990,1464,0.0
110,3896,1.0
179,9192,1.0
577,5495,0.0
125,2462,1.0
2298,12435,1.0
2327,9992,0.0
1050,2174,0.0
463,1697,0.0
813,16505,0.0
438,13811,1.0
437,15833,1.0
2867,7016,1.0
94,4987,1.0
1101,1377,1.0
598,5705,0.0
126,999,1.0
112,62,1.0
49,9099,1.0
107,1704,1.0
2277,8616,0.0
99,15789,1.0
54,15741,1.0
1917,4348,1.0
131,10273,1.0
486,1959,1.0
42,4271,0.0
499,869,1.0
462,14029,0.0
3136,12327,0.0
673,11959,1.0
1011,15548,1.0
498,1511,1.0
755,11909,1.0
42,6865,1.0
2311,15522,1.0
2779,7162,0.0
931,12399,1.0
855,14961,1.0
59,16500,1.0
96,4070,1.0
681,7795,0.0
65,14258,1.0
3623,15807,1.0
