user_id,item_id,score
1792,256,0.0
4978,586,1.0
183,745,1.0
1139,1113,1.0
2744,592,0.0
3930,965,1.0
1771,1091,0.0
1149,24,0.0
2782,835,1.0
305,31,1.0
3102,53,1.0
2588,25,1.0
4946,633,1.0
1399,169,1.0
1848,836,1.0
5240,879,1.0
5406,561,1.0
5157,677,1.0
4736,446,1.0
5997,745,1.0
1706,310,1.0
4384,350,1.0
6135,1074,1.0
1423,788,1.0
676,419,1.0
2698,826,1.0
3885,626,1.0
203,1089,0.0
2721,632,0.0
2538,550,0.0
2854,334,1.0
6693,740,0.0
1885,213,1.0
1509,369,1.0
610,630,1.0
1418,991,1.0
4078,42,0.0
598,1144,1.0
2609,82,1.0
3645,464,1.0
3636,1160,1.0
3341,877,1.0
2092,846,1.0
4496,781,1.0
5796,646,1.0
5783,84,1.0
2810,813,1.0
5989,227,1.0
4693,427,1.0
5164,1076,1.0
4173,762,1.0
4759,756,1.0
1587,320,0.0
6544,446,1.0
2953,453,1.0
6117,478,0.0
2591,551,1.0
4891,951,1.0
6138,740,0.0
3438,565,1.0
5352,444,1.0
1895,517,0.0
1398,23,0.0
1448,927,1.0
1971,960,1.0
3361,555,1.0
1102,295,1.0
1355,933,1.0
3337,817,0.0
3083,424,1.0
1739,743,0.0
2072,331,1.0
256,503,1.0
4631,1139,1.0
335,31,1.0
887,807,1.0
88,561,1.0
6683,819,1.0
6069,86,0.0
6617,662,1.0
1085,1171,1.0
719,557,1.0
105,1121,1.0
1496,282,0.0
2076,841,0.0
195,467,1.0
1502,959,1.0
3182,420,1.0
3064,620,0.0
6407,348,1.0
3358,910,1.0
3944,547,0.0
878,819,0.0
84,386,1.0
4086,338,1.0
3774,840,0.0
1958,223,1.0
6268,553,1.0
1463,803,1.0
234,31,1.0
5962,1063,1.0
1991,244,1.0
2222,807,1.0
5836,380,0.0
1771,1137,0.0
5824,284,1.0
1032,805,1.0
520,233,0.0
5956,1145,0.0
1073,85,0.0
1276,113,1.0
3118,784,1.0
4987,324,1.0
2027,875,1.0
5785,945,1.0
1592,743,0.0
2498,1015,1.0
6305,348,1.0
1040,760,1.0
1411,285,1.0
3358,254,1.0
141,467,1.0
1889,1151,1.0
5793,317,1.0
1733,797,1.0
2356,688,0.0
2104,537,1.0
1582,1103,0.0
5188,609,1.0
1031,59,0.0
2083,869,1.0
5824,1022,1.0
1770,125,1.0
917,852,1.0
529,105,1.0
3754,654,1.0
1529,531,1.0
1561,877,1.0
2813,29,1.0
1220,179,0.0
4840,526,1.0
4214,810,0.0
1421,372,1.0
575,3,1.0
6162,604,0.0
1753,567,1.0
6220,662,0.0
4741,338,1.0
633,992,1.0
2971,620,0.0
1888,1177,1.0
2701,1134,1.0
3716,956,0.0
1436,67,0.0
1038,206,1.0
3238,384,1.0
483,422,1.0
5151,976,0.0
2604,167,1.0
1315,634,1.0
581,345,0.0
4579,694,0.0
2990,284,1.0
5792,484,1.0
5829,798,1.0
4872,246,1.0
2630,90,1.0
1591,304,0.0
3143,246,1.0
1327,10,0.0
2399,83,1.0
1697,939,1.0
1354,1085,1.0
4528,98,1.0
4371,506,0.0
3876,1065,0.0
573,1141,0.0
3709,564,1.0
5277,1129,1.0
1945,834,0.0
2155,647,0.0
518,889,0.0
5314,175,1.0
2423,492,0.0
2580,27,1.0
2424,1092,1.0
3492,1139,1.0
1652,1127,0.0
2420,579,1.0
1346,18,0.0
2793,936,1.0
3275,31,1.0
1729,624,1.0
545,1027,0.0
4279,802,0.0
1541,627,1.0
1142,684,0.0
4195,341,0.0
3992,821,1.0
491,799,1.0
2598,359,1.0
6287,1076,1.0
4215,416,1.0
174,697,1.0
2533,607,1.0
4648,800,1.0
1818,454,1.0
2611,398,1.0
5806,1146,1.0
5725,237,1.0
2034,99,1.0
1529,667,1.0
5289,660,1.0
2626,579,1.0
345,2,1.0
5865,389,1.0
2917,929,1.0
1483,397,0.0
1788,380,1.0
3344,354,1.0
192,201,1.0
3590,564,1.0
1730,84,1.0
3365,1079,1.0
476,1031,0.0
4973,134,1.0
2560,1010,1.0
603,447,0.0
1755,516,1.0
6257,812,0.0
2037,14,1.0
5125,189,1.0
4814,964,1.0
4829,830,1.0
1836,950,0.0
2400,1092,1.0
847,604,0.0
1956,1013,1.0
2829,484,1.0
526,326,1.0
1506,905,1.0
2481,839,1.0
3523,125,1.0
1601,121,0.0
1403,520,0.0
2999,267,1.0
2175,86,1.0
4773,756,1.0
3125,499,1.0
3181,1029,1.0
1754,200,0.0
1640,801,0.0
1682,979,0.0
5986,853,0.0
6392,547,0.0
216,883,1.0
587,369,1.0
1670,457,0.0
4079,1133,1.0
239,291,1.0
2268,288,1.0
4173,605,1.0
351,386,0.0
3069,936,1.0
511,103,0.0
604,957,1.0
2974,519,1.0
6239,188,0.0
1620,1082,1.0
576,590,1.0
1310,1005,1.0
4854,453,1.0
116,561,0.0
5773,482,1.0
3342,1091,0.0
1313,771,1.0
1734,254,0.0
6050,132,1.0
3456,1082,0.0
5347,236,0.0
2531,1164,1.0
3596,973,1.0
4824,793,1.0
545,343,0.0
3255,636,1.0
2446,538,1.0
5268,1073,0.0
1260,688,0.0
2876,1004,1.0
1027,1170,1.0
2909,936,1.0
3722,1147,0.0
4131,165,0.0
175,815,1.0
5045,698,1.0
1058,673,0.0
3277,441,0.0
5013,845,1.0
6442,478,1.0
6214,237,1.0
228,1028,1.0
5129,972,1.0
286,745,0.0
3536,125,1.0
360,786,1.0
592,328,1.0
1355,426,1.0
545,651,0.0
4966,845,1.0
2206,557,0.0
1855,920,1.0
1715,304,0.0
2289,363,0.0
3266,314,0.0
1016,323,1.0
249,386,1.0
2457,93,1.0
4779,468,1.0
1801,1157,1.0
5822,526,1.0
2381,513,1.0
5857,1145,0.0
1135,170,0.0
100,815,1.0
6478,554,0.0
2663,538,1.0
1858,110,1.0
6528,694,1.0
2074,711,1.0
3623,757,1.0
1675,1054,0.0
168,1028,0.0
4811,777,1.0
1014,262,1.0
6265,972,1.0
1819,917,1.0
1040,63,1.0
1329,118,0.0
2809,158,1.0
2586,858,1.0
1636,769,0.0
3163,424,1.0
3524,800,1.0
2793,69,1.0
4527,1083,1.0
3122,663,1.0
2000,305,1.0
157,467,1.0
4086,165,1.0
247,913,1.0
402,436,1.0
3125,650,0.0
4300,446,0.0
3790,736,1.0
2849,424,0.0
4728,112,1.0
3229,786,1.0
97,384,1.0
1791,1161,1.0
3361,192,0.0
473,191,1.0
3356,1023,1.0
91,225,1.0
1137,170,1.0
1729,304,1.0
561,20,1.0
5405,1121,1.0
247,201,0.0
6603,700,1.0
3440,624,1.0
2085,1114,0.0
5076,1118,1.0
1391,583,1.0
3087,69,1.0
4882,246,1.0
1332,601,0.0
228,705,1.0
1642,126,1.0
4703,915,1.0
5168,773,1.0
3399,955,0.0
1899,74,0.0
2093,1165,0.0
3467,161,1.0
1325,340,0.0
3209,287,1.0
6473,608,1.0
224,676,0.0
1329,935,1.0
6026,86,1.0
1095,1043,0.0
3489,996,1.0
1488,935,0.0
4432,1035,1.0
627,226,1.0
3340,729,1.0
1504,755,1.0
3653,34,1.0
4618,222,1.0
2584,550,0.0
599,328,1.0
3755,501,1.0
1828,1037,1.0
5406,1159,1.0
3338,1054,0.0
968,1074,1.0
2077,1002,1.0
275,386,1.0
1054,462,1.0
236,599,1.0
3135,964,1.0
2494,571,1.0
6116,478,1.0
4986,498,1.0
2162,737,1.0
1391,716,0.0
3516,877,1.0
2693,748,1.0
1333,782,1.0
549,894,1.0
475,905,1.0
6698,819,1.0
3019,1022,1.0
1049,1113,1.0
6379,1133,0.0
1800,198,1.0
487,283,1.0
2278,218,1.0
4991,272,1.0
2573,486,1.0
4312,146,1.0
3469,84,1.0
1634,820,1.0
2991,687,1.0
2784,943,1.0
5914,832,0.0
3945,416,1.0
3239,31,1.0
4662,151,0.0
1951,732,0.0
5064,879,1.0
1141,841,0.0
454,258,1.0
2901,632,1.0
1515,164,0.0
6145,1074,1.0
599,239,1.0
4546,662,0.0
3888,298,0.0
4272,847,0.0
2639,434,1.0
2916,581,0.0
1086,1080,0.0
6335,557,1.0
2495,775,1.0
327,367,1.0
5789,974,1.0
180,367,1.0
1772,161,1.0
4368,909,1.0
4632,1056,1.0
5269,1111,1.0
3659,480,0.0
1007,628,0.0
616,249,1.0
252,108,1.0
3067,518,1.0
2835,484,1.0
6302,864,1.0
6246,297,1.0
1788,299,1.0
2256,1057,0.0
5855,324,0.0
4469,48,0.0
5906,972,1.0
1750,186,0.0
2581,486,1.0
4599,694,0.0
1671,945,1.0
1818,979,0.0
2141,26,1.0
1120,277,0.0
402,524,1.0
5950,734,1.0
5146,236,0.0
559,43,1.0
197,593,1.0
2333,1055,1.0
3937,605,1.0
5798,334,1.0
693,58,1.0
3714,645,0.0
3430,955,1.0
5129,272,1.0
2911,825,1.0
3150,646,1.0
572,897,0.0
2065,1170,0.0
2392,101,0.0
3974,678,1.0
1371,1177,1.0
2761,382,1.0
3919,810,0.0
196,367,1.0
5018,94,1.0
1814,1060,1.0
4197,756,1.0
3695,674,1.0
5948,1111,1.0
3298,1121,1.0
2566,1180,1.0
595,1006,0.0
853,512,0.0
4515,1035,0.0
3545,624,1.0
3720,742,1.0
3625,493,1.0
6349,1097,1.0
2318,665,1.0
2328,720,1.0
4754,878,1.0
3080,461,1.0
6326,718,1.0
5403,786,0.0
5116,1154,0.0
5710,662,1.0
3175,317,1.0
1561,572,1.0
1049,1018,1.0
2419,492,0.0
5362,677,1.0
4015,406,1.0
4014,302,1.0
2819,1029,1.0
4025,1133,0.0
3105,911,1.0
5341,470,1.0
5038,1063,1.0
1395,426,1.0
1649,365,1.0
1042,969,1.0
6286,672,1.0
5779,280,1.0
36,1160,1.0
5764,127,0.0
6012,1067,1.0
2332,255,1.0
3405,51,0.0
5281,236,0.0
2395,194,1.0
3008,69,1.0
5854,845,1.0
4837,267,0.0
1479,203,1.0
2574,434,1.0
2236,348,1.0
1459,204,1.0
4700,165,0.0
1548,227,1.0
3172,53,1.0
4453,844,1.0
1749,482,1.0
4186,915,1.0
1465,548,1.0
2071,409,0.0
1447,724,1.0
1012,701,1.0
87,883,1.0
518,303,1.0
2166,819,1.0
1865,203,1.0
500,328,1.0
3322,921,0.0
2549,816,1.0
1360,349,1.0
593,422,0.0
2687,977,1.0
1632,413,1.0
2933,900,1.0
5993,79,1.0
628,343,1.0
755,348,1.0
912,978,1.0
3226,676,1.0
2258,876,0.0
1461,11,0.0
5409,778,1.0
1454,308,1.0
2844,859,1.0
1639,917,1.0
6414,1074,0.0
638,651,0.0
2751,620,0.0
4120,1102,1.0
1560,984,1.0
2648,479,0.0
1421,536,1.0
1102,760,1.0
1026,137,1.0
3429,1138,0.0
2322,625,1.0
5956,272,1.0
3465,572,1.0
632,791,1.0
118,436,1.0
5992,572,1.0
4843,974,1.0
4960,542,0.0
4197,606,1.0
600,268,0.0
4865,1172,1.0
3718,62,0.0
5642,339,1.0
443,522,1.0
5915,698,1.0
1077,450,0.0
4826,900,1.0
5400,705,1.0
3112,998,1.0
3982,42,0.0
1725,857,0.0
4833,813,1.0
1336,548,1.0
4193,958,1.0
1600,247,0.0
5366,752,1.0
2994,466,1.0
1147,770,1.0
3180,646,1.0
5013,586,1.0
1077,383,1.0
4673,802,0.0
5762,712,0.0
3447,1127,0.0
4651,546,1.0
1862,991,1.0
5792,1110,1.0
1340,764,0.0
6288,832,1.0
4739,521,1.0
4647,851,1.0
3270,77,1.0
2078,710,1.0
2052,855,0.0
1072,443,1.0
1047,711,1.0
1612,374,0.0
2581,25,1.0
2625,141,1.0
1509,531,1.0
1045,954,1.0
3760,396,0.0
2083,353,0.0
3929,468,1.0
5944,134,1.0
1646,555,1.0
2455,479,1.0
1564,567,0.0
3265,792,0.0
4056,502,0.0
1816,51,1.0
4150,641,1.0
5252,324,1.0
1975,882,1.0
1484,616,1.0
6196,909,1.0
1869,908,1.0
1109,462,0.0
3294,291,1.0
5413,759,1.0
4294,762,1.0
5000,677,1.0
1005,925,0.0
1664,300,1.0
35,987,1.0
305,1131,1.0
645,647,1.0
3496,530,1.0
1043,471,1.0
1620,320,0.0
5004,899,1.0
3712,696,1.0
5987,1064,0.0
1543,791,0.0
1384,118,1.0
377,2,1.0
2756,620,0.0
328,705,1.0
4976,554,1.0
1475,504,0.0
3004,382,0.0
290,522,1.0
2476,1030,1.0
690,978,1.0
3058,69,1.0
2576,1010,1.0
4942,812,1.0
2405,1164,1.0
2046,726,0.0
1677,79,1.0
1079,742,1.0
1483,768,1.0
602,1012,1.0
3339,800,1.0
3174,798,1.0
5189,633,1.0
2536,279,0.0
623,239,1.0
3351,917,1.0
1931,146,1.0
294,1046,1.0
1633,186,1.0
5830,499,1.0
4954,972,1.0
117,785,1.0
3108,461,1.0
3508,1064,0.0
399,676,1.0
1477,536,1.0
2744,53,1.0
5830,253,0.0
133,574,1.0
5027,660,1.0
6360,511,1.0
953,86,1.0
3415,567,1.0
1591,161,1.0
1895,631,1.0
5664,682,1.0
2260,719,0.0
3364,54,1.0
1863,318,0.0
2621,665,1.0
1101,262,1.0
146,449,0.0
1769,68,1.0
2677,27,1.0
1565,1037,1.0
3744,840,1.0
6752,852,1.0
1912,652,1.0
1939,875,1.0
1331,150,1.0
1435,195,1.0
46,564,1.0
1874,806,0.0
2559,141,0.0
2775,428,1.0
1652,939,0.0
5903,272,1.0
588,35,0.0
2353,111,1.0
3531,243,1.0
4088,52,1.0
3656,1160,1.0
144,970,0.0
3304,676,1.0
525,1125,0.0
3606,415,1.0
1124,1072,0.0
1654,981,1.0
1107,615,1.0
1035,751,1.0
3711,1166,1.0
2071,170,1.0
1536,582,1.0
4819,334,1.0
4755,502,1.0
2361,1070,0.0
1539,43,0.0
2532,417,0.0
3538,1037,0.0
1407,671,1.0
3780,1069,0.0
200,561,1.0
3753,850,1.0
5945,609,1.0
3006,1146,1.0
1731,264,1.0
3112,813,1.0
881,435,1.0
4896,1124,1.0
391,1028,0.0
1347,208,0.0
2680,141,1.0
1067,137,1.0
1499,303,1.0
1090,925,1.0
1024,818,1.0
1913,229,1.0
3264,449,1.0
1184,1001,0.0
3004,620,0.0
1613,1155,0.0
1337,691,1.0
2956,1172,0.0
5087,444,1.0
306,367,1.0
5860,1073,0.0
247,780,1.0
5803,499,1.0
2489,476,1.0
3090,581,0.0
1826,482,0.0
188,994,0.0
3801,1065,1.0
4547,844,1.0
830,557,0.0
3601,757,1.0
3700,153,1.0
5881,554,1.0
3546,157,1.0
1362,509,1.0
3733,1117,1.0
360,780,1.0
1119,117,1.0
686,124,1.0
4878,777,0.0
1760,851,1.0
3151,402,0.0
3704,456,1.0
1904,191,1.0
2056,262,1.0
1785,638,0.0
2525,1026,1.0
5094,1076,1.0
5871,1076,0.0
351,1046,0.0
1360,399,1.0
5841,507,0.0
2561,623,1.0
1133,701,1.0
1273,1088,0.0
564,191,0.0
2021,912,1.0
5113,236,0.0
2313,720,1.0
1592,299,1.0
2068,956,1.0
1863,114,0.0
2718,758,0.0
5952,140,1.0
3711,355,0.0
2658,775,1.0
2080,471,1.0
2876,900,1.0
169,780,1.0
1052,1036,1.0
1350,403,1.0
525,8,1.0
1093,178,0.0
547,142,1.0
1946,187,1.0
6276,1111,1.0
5332,879,1.0
6215,339,1.0
4815,581,1.0
3212,831,1.0
6299,218,1.0
5394,1046,1.0
544,692,1.0
1139,818,0.0
393,1050,1.0
1273,123,1.0
5176,879,1.0
5768,567,1.0
5340,1075,1.0
1020,178,1.0
1753,1137,0.0
3229,815,1.0
4886,526,1.0
2889,663,0.0
4666,457,1.0
4080,468,1.0
212,599,1.0
3468,822,1.0
3369,683,1.0
5301,773,1.0
4023,529,1.0
3492,1025,0.0
4426,465,1.0
598,1006,0.0
1897,680,1.0
204,80,1.0
5445,814,1.0
267,31,1.0
5672,694,1.0
4793,830,1.0
587,260,1.0
1958,983,1.0
2269,884,1.0
5094,319,1.0
468,1089,1.0
1741,1138,1.0
569,212,1.0
6491,224,0.0
5479,237,1.0
2098,966,1.0
1796,1023,1.0
1391,250,1.0
616,525,1.0
1082,585,1.0
233,814,0.0
2467,1180,1.0
2221,893,0.0
614,303,1.0
5109,586,1.0
1362,330,1.0
5430,124,1.0
1180,1001,0.0
5790,650,1.0
1492,266,0.0
3778,644,1.0
1358,932,1.0
2015,1108,0.0
3895,1055,1.0
1418,203,0.0
1290,190,0.0
2836,666,1.0
3467,1138,0.0
841,557,0.0
5223,272,1.0
4272,468,1.0
3025,368,1.0
3070,758,0.0
2261,1151,1.0
484,999,0.0
5310,1073,0.0
4986,1073,0.0
5306,444,1.0
2040,866,1.0
5128,924,1.0
5362,470,1.0
3223,686,1.0
1329,520,0.0
3332,921,1.0
3012,334,1.0
2492,607,1.0
1062,404,1.0
5259,734,1.0
4847,334,1.0
4650,857,1.0
5313,586,1.0
1113,1130,0.0
1556,988,0.0
1751,857,1.0
1020,969,0.0
5774,917,0.0
3380,374,1.0
3930,529,1.0
3480,254,1.0
3283,1121,1.0
5320,189,1.0
6398,763,1.0
1419,286,0.0
5789,632,1.0
1011,180,1.0
5840,1140,1.0
4641,374,1.0
5924,773,1.0
4380,506,0.0
1480,789,0.0
2081,450,1.0
511,229,0.0
1474,789,1.0
5342,175,1.0
1805,642,0.0
4674,1102,1.0
3179,859,0.0
6109,507,0.0
4577,844,1.0
637,532,1.0
3050,830,1.0
1031,818,1.0
1576,939,1.0
1959,1053,0.0
1093,570,0.0
1117,961,1.0
1590,619,0.0
2890,428,0.0
4589,196,1.0
1480,1143,1.0
1006,668,1.0
3408,254,0.0
3496,1079,1.0
4688,678,1.0
4844,53,1.0
1490,1100,1.0
4850,650,1.0
3696,493,1.0
3527,567,0.0
3464,354,1.0
2267,823,0.0
1823,9,1.0
4646,192,0.0
1800,988,1.0
1660,683,1.0
3991,821,1.0
2467,665,1.0
4088,352,1.0
1115,62,0.0
1860,458,1.0
5813,1041,1.0
3920,965,1.0
3390,354,0.0
6179,852,0.0
504,17,0.0
5808,518,0.0
2297,387,1.0
5132,879,1.0
1346,1100,1.0
3837,1003,1.0
1108,5,1.0
3804,644,1.0
1014,1072,1.0
5681,506,0.0
3343,292,0.0
1639,910,1.0
89,921,1.0
2519,626,1.0
323,201,1.0
2761,700,1.0
3169,911,1.0
1354,1020,0.0
3464,193,1.0
5785,126,1.0
1094,730,1.0
2638,166,1.0
2562,40,0.0
3544,1115,1.0
4213,197,1.0
5639,682,1.0
3094,632,0.0
494,3,1.0
3009,499,1.0
3395,412,0.0
3922,958,0.0
3007,402,0.0
5137,643,1.0
298,1089,0.0
2480,1010,1.0
1047,1018,1.0
1572,186,1.0
1120,728,1.0
437,561,1.0
3160,951,1.0
2072,439,1.0
1764,988,0.0
4642,1127,0.0
5088,134,1.0
6272,140,1.0
2580,359,1.0
4655,1021,1.0
3832,657,1.0
5558,237,1.0
4803,777,1.0
1320,741,0.0
1920,882,1.0
1725,299,1.0
6710,1046,1.0
1624,380,0.0
3528,125,1.0
3289,697,1.0
1022,1009,1.0
3454,822,1.0
3146,466,0.0
4485,221,1.0
2275,177,0.0
5893,773,1.0
3298,80,1.0
